Year,Gender,Award,HigherSAT,Height,Weight,Siblings,BirthOrder,VerbalSAT,MathSAT,SAT,GPA,Piercings
Senior,M,Olympic,Math,71,180,4,4,540,670,1210,3.13,0
Sophomore,F,Academy,Math,66,120,2,2,520,630,1150,2.5,3
FirstYear,M,Nobel,Math,72,208,2,1,550,560,1110,2.55,0
Junior,M,Nobel,Math,63,110,1,1,490,630,1120,3.1,0
Sophomore,F,Nobel,Verbal,65,150,1,1,720,450,1170,2.7,6
Sophomore,F,Nobel,Verbal,65,114,2,2,600,550,1150,3.2,4
FirstYear,F,Olympic,Math,66,128,1,1,640,680,1320,2.77,8
Sophomore,M,Olympic,Math,74,235,1,1,660,710,1370,3.3,0
Junior,F,Nobel,Verbal,61,138,2,2,550,550,1100,2.8,7
FirstYear,F,Nobel,Math,60,115,7,8,670,700,1370,3.7,2
Sophomore,F,Olympic,Math,65,140,1,2,500,670,1170,2.09,2
Junior,F,Nobel,Verbal,68,135,2,3,650,650,1300,3.08,4
FirstYear,F,Olympic,Math,63,110,1,2,590,610,1200,3.86,4
FirstYear,F,Olympic,Verbal,63,99,2,1,600,600,1200,3,4
Sophomore,M,Nobel,Verbal,72,165,2,1,700,650,1350,3,0
Sophomore,F,Nobel,Math,62,120,1,1,610,800,1410,3.35,2
Sophomore,F,Olympic,Verbal,67,154,1,2,550,450,1000,3.3,5
Sophomore,F,Nobel,Math,65,110,1,2,550,640,1190,3.4,2
Sophomore,F,Nobel,Math,68,145,8,8,560,570,1130,2.9,2
FirstYear,M,Olympic,Math,73,195,3,4,560,620,1180,3.5,0
Sophomore,M,Olympic,Math,74,200,1,2,550,650,1200,3,0
Sophomore,M,Olympic,Math,70,167,1,2,550,680,1230,3.3,0
Sophomore,M,Nobel,Math,71,175,3,2,700,720,1420,3.7,0
Sophomore,F,Academy,Verbal,67,155,1,1,610,590,1200,3.48,2
Junior,M,Nobel,Math,74,185,1,2,570,580,1150,3.4,0
FirstYear,M,Olympic,Math,68,190,1,1,550,560,1110,2.5,0
Senior,M,Olympic,Verbal,72,165,1,2,500,500,1000,3.3,0
Junior,M,Academy,Math,62,175,2,3,610,620,1230,3.5,0
Sophomore,F,Nobel,Math,66,126,5,6,610,650,1260,3.79,1
FirstYear,M,Olympic,Math,70,187,3,2,500,560,1060,3.3,0
Senior,M,Nobel,Verbal,72,170,2,2,640,640,1280,2.9,0
FirstYear,F,Olympic,Math,67,158,4,2,490,520,1010,2.68,2
Sophomore,F,Olympic,Math,62,119,1,2,560,580,1140,3.28,4
FirstYear,M,Olympic,Math,73,205,1,1,560,640,1200,3.51,0
Sophomore,F,Academy,Math,67,129,1,1,470,600,1070,2.6,4
Sophomore,F,Academy,Verbal,67,145,0,1,680,670,1350,3.85,2
Junior,F,Nobel,Verbal,64,130,0,1,570,570,1140,2.4,4
Senior,M,Nobel,Verbal,72,215,3,1,630,590,1220,3.4,0
Sophomore,F,Nobel,Verbal,64,135,2,3,580,540,1120,2.4,7
Sophomore,F,Olympic,Verbal,70,145,0,1,550,500,1050,3,2
FirstYear,F,Olympic,Math,60,98,2,2,490,550,1040,3.1,5
FirstYear,M,Olympic,Math,71,150,1,1,590,650,1240,2.94,0
Junior,M,Olympic,Verbal,73,159,1,1,620,620,1240,3.31,0
Senior,M,Olympic,Verbal,72,174,1,2,560,550,1110,3.3,0
Sophomore,M,Olympic,Math,74,160,1,2,630,690,1320,2.9,0
Senior,M,Olympic,Math,70,165,1,2,600,630,1230,3.4,0
Sophomore,F,Olympic,Math,69,161,1,2,550,650,1200,3.16,2
Senior,F,Nobel,Math,64,130,2,2,640,730,1370,3.84,4
Junior,M,Olympic,Math,72,175,2,1,650,670,1320,3.6,1
Senior,M,Olympic,Math,70,255,2,2,420,520,940,2.36,0
Junior,M,Olympic,Verbal,65,160,4,4,500,480,980,2.9,0
FirstYear,M,Academy,Verbal,72,160,0,1,620,600,1220,3,0
Junior,F,Academy,Math,63,95,0,1,600,660,1260,3.3,4
Sophomore,F,Olympic,Math,64,115,2,2,580,680,1260,3.7,2
Sophomore,F,Academy,Math,64,120,1,1,490,520,1010,2.9,2
FirstYear,F,Nobel,Verbal,65,135,2,3,630,620,1250,3.6,2
Sophomore,M,Academy,Math,73,180,1,2,600,670,1270,3.56,0
Senior,M,Nobel,Math,71,155,0,1,590,610,1200,3.7,2
FirstYear,F,Olympic,Verbal,66,110,2,1,550,520,1070,4,5
FirstYear,M,Olympic,Verbal,73,215,2,3,600,600,1200,3.4,0
Sophomore,F,Olympic,Math,65,140,3,4,600,650,1250,3.3,5
FirstYear,M,Olympic,Verbal,72,195,2,2,600,600,1200,3.1,1
Sophomore,M,Nobel,Verbal,73,185,2,1,650,530,1180,2.5,0
Sophomore,M,Nobel,Verbal,70,185,2,1,650,650,1300,3.2,0
Senior,M,Olympic,Verbal,79,209,1,1,560,520,1080,3.1,0
Senior,F,Olympic,Math,67,145,3,2,540,640,1180,3.5,5
Sophomore,F,Olympic,Verbal,66,140,1,1,640,600,1240,3,6
FirstYear,F,Nobel,Verbal,66,146,1,2,690,620,1310,3.25,5
FirstYear,F,Olympic,Verbal,68,130,2,1,600,580,1180,2.4,2
Sophomore,F,Nobel,Math,67,140,1,2,610,650,1260,3.22,2
Sophomore,F,Olympic,Math,65,160,3,3,580,640,1220,3.64,4
Sophomore,F,Nobel,Math,66,120,1,1,560,580,1140,3.5,2
Sophomore,M,Academy,Math,76,150,1,1,620,680,1300,2.5,0
Sophomore,M,Olympic,Math,69,155,1,1,620,660,1280,3.4,0
FirstYear,F,Olympic,Math,64,143,2,2,430,610,1040,3.25,3
Junior,F,Nobel,Verbal,65,155,2,1,640,640,1280,3.7,7
FirstYear,F,Olympic,Math,67,119,2,1,490,590,1080,2.1,1
Sophomore,F,Academy,Math,66,138,1,2,550,560,1110,2.8,7
Senior,M,Academy,Verbal,72,240,1,1,690,550,1240,3.49,0
FirstYear,F,Nobel,Verbal,65,160,1,1,550,550,1100,3.83,3
FirstYear,M,Nobel,Math,69,165,5,4,530,610,1140,2.7,0
Sophomore,M,Olympic,Math,73,200,2,3,520,620,1140,2.8,0
FirstYear,F,Olympic,Verbal,62,125,1,1,660,520,1180,3.13,2
Sophomore,F,Nobel,Verbal,69,140,2,3,800,680,1480,3.62,4
Sophomore,M,Nobel,Math,73,206,1,1,560,660,1220,2,0
FirstYear,M,Nobel,Math,76,275,1,2,610,640,1250,3.6,0
Sophomore,M,Olympic,Math,70,142,1,2,660,680,1340,4,0
Sophomore,F,Nobel,Verbal,67,140,6,7,650,550,1200,3.1,2
Sophomore,M,Nobel,Verbal,68,145,5,6,680,570,1250,2.6,0
Sophomore,M,Nobel,Math,72,128,1,1,550,600,1150,3.7,0
FirstYear,M,Olympic,Math,74,165,1,1,660,710,1370,3.57,0
Senior,F,Nobel,Verbal,62,140,1,1,650,550,1200,2.9,2
Sophomore,F,Nobel,Math,69,130,1,2,620,630,1250,3.15,2
FirstYear,M,Nobel,Math,70,170,3,2,530,590,1120,3.88,0
Sophomore,M,Olympic,Math,69,160,2,2,670,720,1390,3.5,0
Sophomore,M,Olympic,Math,72,165,2,2,640,710,1350,2.8,0
Sophomore,M,Olympic,Math,67,155,1,2,670,700,1370,2.9,0
Sophomore,M,Olympic,Math,73,155,3,2,730,740,1470,3.21,0
Sophomore,F,Nobel,Math,63,113,1,2,580,600,1180,3.5,4
Sophomore,M,Olympic,Math,70,155,1,2,610,640,1250,3.33,0
Sophomore,M,Nobel,Math,,173,1,1,580,680,1260,3,0
Sophomore,M,Nobel,Math,65,195,2,1,620,630,1250,3.5,0
Sophomore,F,Nobel,Verbal,73,120,1,1,680,670,1350,3.95,0
FirstYear,M,Olympic,Math,78,225,2,1,570,670,1240,2.1,0
FirstYear,F,Nobel,Verbal,65,160,1,2,500,450,950,3,5
Sophomore,F,Nobel,Verbal,63,120,2,1,800,750,1550,3,3
Sophomore,F,Nobel,Verbal,68,138,1,2,610,540,1150,3.75,4
Sophomore,M,Nobel,,72,260,2,3,550,550,1100,2.5,1
Sophomore,M,Nobel,Math,70,150,2,3,600,620,1220,3.4,0
FirstYear,F,Nobel,Verbal,67,135,3,4,660,550,1210,3.4,7
Sophomore,F,Nobel,Verbal,72,165,1,1,640,560,1200,3.14,7
FirstYear,M,Olympic,Math,68,142,3,4,560,580,1140,2.6,0
Sophomore,M,Nobel,Verbal,78,210,6,5,600,600,1200,3.4,0
Sophomore,M,Olympic,Math,69,171,1,1,480,530,1010,2.7,0
Sophomore,F,Olympic,Verbal,80,150,4,1,650,600,1250,3.15,2
Sophomore,M,Olympic,Math,71,188,3,1,520,600,1120,2.2,0
Sophomore,M,Nobel,Verbal,70,195,0,1,640,640,1280,3.5,0
FirstYear,M,Olympic,Math,75,230,2,1,610,620,1230,2.9,0
Sophomore,F,Olympic,Verbal,64,140,2,3,450,400,850,2.5,4
Sophomore,M,Nobel,Verbal,78,200,1,1,700,600,1300,3.5,0
Senior,F,Nobel,Math,68,140,0,1,540,680,1220,3.6,2
FirstYear,F,Nobel,Verbal,69,180,5,3,550,540,1090,3.1,2
Sophomore,F,Nobel,Math,63,160,1,1,640,680,1320,3,4
Sophomore,F,Olympic,Verbal,64,135,3,2,560,540,1100,3,5
Sophomore,F,Nobel,Math,63,140,2,3,530,700,1230,3.8,4
Sophomore,F,Olympic,Math,72,155,2,1,620,650,1270,3.15,2
Sophomore,M,Nobel,Math,63,235,5,3,550,560,1110,2.75,0
FirstYear,F,Olympic,Math,63,140,3,2,520,540,1060,2.8,4
Sophomore,F,Nobel,Verbal,68,130,2,3,660,580,1240,3,2
Junior,F,Olympic,Math,67,125,5,4,470,600,1070,3.1,2
FirstYear,M,Olympic,Math,71,222,1,1,570,580,1150,2.27,0
FirstYear,F,Academy,Verbal,65,128,3,1,560,550,1110,2.8,2
FirstYear,M,Olympic,Math,72,183,2,2,520,540,1060,3.02,0
Junior,M,Olympic,Verbal,75,175,0,1,560,500,1060,2.93,0
FirstYear,F,Nobel,Verbal,59,125,1,1,600,600,1200,3.2,2
Sophomore,F,Academy,Math,69,156,1,1,400,420,820,3,3
FirstYear,F,Olympic,Math,63,145,3,4,540,630,1170,3,0
Sophomore,M,Olympic,Math,74,195,4,2,400,460,860,2.7,0
Sophomore,M,Olympic,Math,70,185,2,1,530,725,1255,3.2,0
FirstYear,F,Nobel,Math,64,150,1,1,530,600,1130,2.9,5
Sophomore,F,Nobel,Math,67,140,0,,517,561,1078,3,2
FirstYear,M,Olympic,Verbal,66,150,1,1,620,580,1200,2.72,0
FirstYear,F,Nobel,Math,67,150,0,1,590,640,1230,3.3,2
Senior,M,Olympic,Verbal,71,195,2,3,620,600,1220,2.22,0
Sophomore,F,Olympic,Math,66,140,1,2,540,690,1230,3.26,2
FirstYear,F,Academy,Math,68,135,2,3,490,540,1030,3.5,7
Sophomore,F,Olympic,Verbal,67,138,1,1,540,520,1060,3.1,2
Senior,F,Olympic,Verbal,69,170,2,3,640,600,1240,3.3,2
Sophomore,F,Olympic,Verbal,66,145,1,1,620,620,1240,3.29,2
FirstYear,F,Nobel,Verbal,68,140,0,1,800,670,1470,3.69,2
Sophomore,M,Olympic,Math,71,155,2,2,510,650,1160,2.65,0
Senior,M,Olympic,Math,70,155,1,2,620,690,1310,3.25,0
Sophomore,M,Olympic,Verbal,66,155,1,1,670,650,1320,2.8,0
Sophomore,F,Nobel,Verbal,65,135,2,3,560,510,1070,3.36,2
Junior,M,Nobel,Verbal,70,165,1,1,630,600,1230,2.97,0
FirstYear,M,Academy,Math,71,160,2,1,590,740,1330,3.31,0
Sophomore,M,Nobel,Verbal,71,175,1,1,630,620,1250,3.05,0
Sophomore,M,Olympic,Math,70,183,3,2,470,500,970,2.2,4
Sophomore,F,Nobel,Verbal,65,140,2,3,550,540,1090,3.3,4
Sophomore,F,Nobel,Verbal,67,140,1,1,690,660,1350,3.45,6
Junior,F,Nobel,Math,61,110,2,2,660,700,1360,3.83,4
Sophomore,F,Nobel,Verbal,68,125,0,1,600,590,1190,3,4
Senior,F,Olympic,Verbal,65,125,2,2,700,560,1260,3.35,8
FirstYear,M,Olympic,Math,70,180,2,3,660,690,1350,2.4,0
Sophomore,M,Olympic,Math,72,195,2,3,540,650,1190,3.1,0
Sophomore,F,Academy,Math,66,128,3,3,520,630,1150,3.4,2
FirstYear,M,Olympic,Math,71,172,1,1,550,580,1130,2.82,0
Sophomore,F,Olympic,Math,64,150,1,1,600,620,1220,2.9,2
Sophomore,M,Olympic,Math,73,188,1,1,600,640,1240,3.4,0
Sophomore,F,Olympic,Verbal,60,110,2,1,520,480,1000,3.2,7
Sophomore,F,Olympic,Math,64,125,1,1,490,610,1100,3.2,5
Sophomore,F,Olympic,Math,65,135,3,1,600,650,1250,3.8,0
FirstYear,F,Olympic,Verbal,65,130,2,2,620,520,1140,3.57,2
Sophomore,M,Olympic,Math,73,230,2,2,530,620,1150,3.33,0
Sophomore,M,Nobel,Math,69,198,1,2,550,620,1170,2.9,0
Sophomore,M,Olympic,Math,66,150,1,2,610,680,1290,3.1,1
Sophomore,M,Olympic,Math,73,175,3,1,550,600,1150,3.25,0
Junior,M,Nobel,Math,71,160,3,4,560,580,1140,3.4,0
Junior,F,Nobel,Math,65,140,2,3,670,710,1380,3.8,2
Sophomore,M,Nobel,Verbal,75,200,1,1,610,600,1210,3.38,0
Sophomore,F,Nobel,Math,63,130,1,1,660,720,1380,3.88,4
Sophomore,M,Olympic,Math,74,210,3,3,630,660,1290,2.75,0
Sophomore,M,Olympic,Math,70,210,2,2,520,580,1100,2.9,0
Sophomore,F,Nobel,Math,63,145,4,5,670,750,1420,3.6,5
Sophomore,M,Olympic,Math,75,156,3,1,550,710,1260,2.8,0
FirstYear,M,Olympic,Math,71,207,0,1,560,680,1240,2.2,1
Sophomore,F,Olympic,Verbal,68,137,2,2,600,500,1100,3.3,0
FirstYear,M,Olympic,Math,72,153,2,3,560,690,1250,2.85,0
Junior,F,Nobel,Math,63,175,2,3,610,660,1270,3.37,2
Sophomore,F,Nobel,Math,65,136,3,1,710,760,1470,3.5,2
Sophomore,F,Nobel,Verbal,65,104,2,2,710,680,1390,3.55,6
FirstYear,F,Olympic,Math,67,122,3,4,560,640,1200,3.2,2
Sophomore,M,Nobel,Math,72,192,1,1,600,630,1230,2.47,0
FirstYear,M,Olympic,Math,71,218,1,2,540,560,1100,2.72,0
Sophomore,M,Nobel,Math,68,170,4,5,600,640,1240,3.4,0
Sophomore,F,Academy,Math,64,150,1,1,550,560,1110,3.4,5
Senior,M,Olympic,Verbal,71,135,4,3,550,550,1100,3.1,0
Senior,F,Nobel,Math,62,155,1,1,620,660,1280,3.1,2
Sophomore,F,Olympic,Math,65,135,1,1,550,650,1200,2.94,3
Sophomore,M,Olympic,Math,68,140,1,2,570,580,1150,3,0
Sophomore,F,Olympic,Math,68,135,3,1,570,600,1170,3.6,2
Sophomore,F,Nobel,Math,64,135,1,1,620,640,1260,3.6,2
Sophomore,M,Nobel,Math,72,165,2,1,520,670,1190,3.5,0
Junior,M,Olympic,Math,71,180,1,2,620,640,1260,3.4,0
Sophomore,M,Olympic,Math,72,165,2,1,520,670,1190,3.5,0
Sophomore,M,Olympic,Math,72,175,2,2,680,750,1430,3,0
Sophomore,M,Olympic,Math,71,200,1,2,630,710,1340,2.75,0
Sophomore,M,Nobel,Verbal,71,138,0,1,730,650,1380,3.56,0
Senior,M,Olympic,Math,71,265,1,1,440,460,900,2.7,0
Sophomore,F,Academy,Math,61,105,1,2,670,700,1370,3.68,2
Sophomore,F,Nobel,Math,68,130,3,3,500,560,1060,3.5,4
Sophomore,M,Olympic,Verbal,70,165,1,1,630,560,1190,3.5,0
Sophomore,F,Nobel,Verbal,67,145,1,2,680,620,1300,3.4,5
FirstYear,F,Academy,Math,64,138,1,1,530,580,1110,2.6,2
Sophomore,F,Olympic,Verbal,71,193,2,2,630,620,1250,3.25,0
Sophomore,M,Nobel,Math,71,170,1,1,600,620,1220,3.3,0
Sophomore,M,Nobel,Verbal,69,155,1,1,700,560,1260,3.2,0
Sophomore,M,Olympic,Math,70,155,1,1,590,620,1210,2.9,0
Junior,F,Nobel,Verbal,65,140,2,1,670,670,1340,3.85,2
Sophomore,F,Nobel,Verbal,65,130,1,1,780,640,1420,3.4,0
Sophomore,M,Olympic,Verbal,72,180,3,3,660,620,1280,3.4,0
Sophomore,M,Academy,Math,74,210,1,2,510,530,1040,2.7,0
Sophomore,F,Nobel,Verbal,62,115,1,2,740,660,1400,3.4,9
Sophomore,M,Nobel,Verbal,75,225,3,1,780,620,1400,3.23,0
FirstYear,M,Academy,Math,67,170,2,3,440,560,1000,3.1,0
Sophomore,F,Olympic,Verbal,63,120,0,1,700,550,1250,2.89,6
Senior,M,Nobel,Verbal,71,170,1,1,660,560,1220,2.81,0
Sophomore,F,Academy,Verbal,63,130,2,3,520,510,1030,3,4
FirstYear,M,Nobel,Math,70,182,1,2,600,620,1220,3.77,0
Sophomore,M,Nobel,Verbal,67,138,1,2,760,640,1400,3.3,0
Sophomore,M,Nobel,Math,74,180,2,1,680,740,1420,3,0
Sophomore,M,Olympic,Math,69,230,0,1,520,590,1110,2.9,5
Junior,M,Olympic,Math,70,222,2,1,510,730,1240,3.5,5
FirstYear,M,Academy,Verbal,70,145,4,4,600,600,1200,3.6,0
Sophomore,M,Nobel,Math,70,150,1,1,650,680,1330,3.7,0
Senior,M,Nobel,Verbal,68,190,0,1,700,670,1370,3.2,0
Sophomore,M,Olympic,Verbal,76,195,3,1,650,620,1270,2.87,0
Sophomore,F,Nobel,Verbal,59,115,1,2,520,520,1040,3.3,0
Junior,F,Olympic,Verbal,66,140,1,2,580,530,1110,3.3,2
Sophomore,M,Nobel,Verbal,68,155,1,1,600,600,1200,3.45,0
Sophomore,M,Nobel,Math,72,150,2,1,520,710,1230,3.1,0
Sophomore,M,Academy,Math,69,155,2,1,750,780,1530,3.71,0
FirstYear,M,Olympic,Math,75,210,3,2,550,580,1130,3.3,0
Junior,M,Olympic,,71,192,1,1,640,640,1280,3.73,0
FirstYear,F,Olympic,Math,72,220,3,4,660,670,1330,3.13,2
Junior,F,Nobel,Verbal,64,134,1,2,640,640,1280,3.89,2
Sophomore,M,Olympic,Math,68,160,1,1,530,650,1180,3.05,0
Junior,M,Nobel,Verbal,68,135,1,1,690,650,1340,3.2,0
Sophomore,M,Olympic,Verbal,67,140,1,1,630,610,1240,3.25,0
Sophomore,F,Olympic,Verbal,66,135,0,1,600,550,1150,2.9,5
FirstYear,M,Olympic,Math,74,145,1,2,560,620,1180,3,0
FirstYear,F,Olympic,Verbal,64,140,2,1,720,690,1410,3.5,4
Sophomore,F,Academy,Verbal,65,138,2,2,720,690,1410,3.6,2
Sophomore,F,Olympic,Verbal,64,130,2,2,620,570,1190,3.25,5
Senior,M,Nobel,Math,72,210,2,2,550,690,1240,2.7,0
Senior,M,Nobel,Verbal,69,233,1,1,800,670,1470,3.78,0
FirstYear,F,Olympic,Math,70,180,6,7,670,690,1360,4,2
FirstYear,M,Olympic,Math,67,185,1,1,550,600,1150,3,0
Sophomore,M,Olympic,Verbal,76,189,3,2,620,470,1090,3.3,1
FirstYear,F,Olympic,Math,66,127,1,1,520,620,1140,2.8,6
Senior,M,Nobel,Math,63,135,1,1,440,640,1080,2.5,0
Sophomore,F,Academy,Verbal,66,140,0,1,720,700,1420,3.5,6
Sophomore,F,Nobel,Math,68,162,2,1,390,530,920,2.8,2
Sophomore,F,Nobel,Verbal,67,215,0,1,560,560,1120,3.4,4
Senior,M,Olympic,Math,73,200,2,1,570,610,1180,3,0
Sophomore,F,Nobel,Verbal,62,120,1,1,660,600,1260,3.27,2
FirstYear,M,Nobel,Math,67,165,3,4,620,640,1260,3.5,5
FirstYear,M,Olympic,Verbal,71,175,2,3,660,570,1230,3,0
Sophomore,F,Olympic,Verbal,66,160,2,1,630,610,1240,3.6,5
Sophomore,M,Nobel,Verbal,68,145,1,2,610,600,1210,3.25,0
Junior,F,Academy,Math,60,180,3,4,540,680,1220,3,0
FirstYear,F,Nobel,Verbal,71,170,1,1,570,570,1140,2.75,6
Sophomore,M,Olympic,Math,75,235,2,1,600,670,1270,2.9,0
Sophomore,F,Olympic,,65,155,1,1,600,600,1200,3,3
Senior,M,Nobel,Math,65,140,3,3,530,640,1170,3,0
Sophomore,F,Olympic,Math,66,145,2,2,560,580,1140,2.9,3
FirstYear,M,Nobel,Verbal,71,175,2,2,560,560,1120,3.36,1
Sophomore,M,Olympic,Math,76,210,2,2,500,580,1080,3.25,0
FirstYear,F,Olympic,Verbal,67,130,1,1,560,480,1040,3.5,2
Sophomore,M,Olympic,Math,72,195,1,1,500,700,1200,2.76,0
Sophomore,M,Olympic,Verbal,73,180,6,3,660,570,1230,2.75,0
Sophomore,F,Olympic,Verbal,60,145,1,2,550,550,1100,3.25,2
Sophomore,M,Nobel,Math,70,163,2,1,630,680,1310,3,0
Junior,M,Olympic,Verbal,75,160,1,2,700,600,1300,2.8,0
Junior,F,Olympic,,67,150,1,1,560,560,1120,3.4,5
Sophomore,M,Olympic,Math,71,170,3,1,580,650,1230,3.25,0
Sophomore,F,Nobel,Verbal,,110,3,3,800,600,1400,3.5,10
Senior,M,Nobel,Math,66,170,1,2,460,520,980,3.05,0
Sophomore,M,Olympic,Math,69,145,2,2,700,740,1440,3.18,0
FirstYear,F,Olympic,Verbal,69,160,1,2,660,650,1310,3,2
Junior,F,Academy,Math,63,130,1,1,500,550,1050,2.23,7
Sophomore,F,Olympic,Math,65,155,1,1,600,630,1230,3.4,2
Senior,M,Nobel,Verbal,72,160,2,3,640,620,1260,3.43,0
Sophomore,F,Nobel,Verbal,66,151,1,1,620,550,1170,3.88,2
Sophomore,M,Olympic,Verbal,74,180,1,1,570,480,1050,3.45,0
Senior,F,Olympic,Math,64,130,2,3,540,560,1100,3,2
Junior,M,Nobel,Math,75,185,1,2,670,680,1350,3,0
Senior,M,Nobel,Verbal,73,198,1,1,620,620,1240,3.18,0
FirstYear,M,Olympic,Verbal,72,175,2,3,650,600,1250,2.2,0
Senior,F,Nobel,Math,67,123,1,1,560,570,1130,3.29,4
Junior,F,Nobel,Math,64,145,1,1,480,690,1170,3.5,8
FirstYear,M,Olympic,Math,67,190,0,1,460,520,980,2.8,0
Sophomore,F,Olympic,Math,65,130,2,3,500,610,1110,2.9,2
Sophomore,M,Nobel,Verbal,70,185,4,3,680,680,1360,3.5,0
FirstYear,M,Olympic,Math,68,165,1,1,550,650,1200,2.5,0
Sophomore,M,Academy,Math,70,165,3,2,630,680,1310,3.25,0
Junior,M,Olympic,Math,67,150,2,2,620,640,1260,2.9,0
FirstYear,M,Nobel,Math,72,160,1,2,560,620,1180,3.66,0
Junior,F,Olympic,Math,64,142,3,3,590,630,1220,3.01,4
FirstYear,M,Olympic,Verbal,72,165,1,1,530,510,1040,2.25,3
Junior,M,Nobel,Verbal,75,175,0,1,690,500,1190,3.2,0
Sophomore,M,Olympic,Math,69,175,2,1,550,600,1150,3.35,0
Sophomore,F,Olympic,Verbal,68,190,1,1,600,600,1200,3,2
Sophomore,M,Nobel,Verbal,72,180,2,2,610,600,1210,3,0
Sophomore,F,Olympic,Verbal,64,135,3,2,470,420,890,2.6,6
Sophomore,M,Olympic,Verbal,73,195,1,1,550,490,1040,2.75,0
Senior,M,Olympic,Math,71,175,0,1,540,600,1140,3.3,0
Sophomore,M,Olympic,Math,70,165,1,1,530,600,1130,3.25,0
FirstYear,M,Nobel,Math,68,135,1,1,540,670,1210,3.3,0
Sophomore,F,Nobel,Verbal,69,140,1,1,680,580,1260,3.2,4
FirstYear,M,Olympic,Math,72,155,1,2,500,650,1150,3,0
FirstYear,F,Nobel,Verbal,68,180,2,3,680,610,1290,3.25,5
Senior,M,Nobel,Math,69,170,1,1,500,650,1150,3.3,0
Sophomore,F,Olympic,Math,66,135,3,2,570,580,1150,3.25,4
FirstYear,M,Olympic,Math,72,165,2,1,540,550,1090,2.83,0
Sophomore,F,Nobel,Math,65,137,0,1,550,560,1110,3.3,5
Sophomore,M,Nobel,Math,70,147,2,2,680,750,1430,3.6,0
Senior,F,Olympic,Math,66,150,1,2,630,730,1360,3.7,2
Junior,F,Nobel,Math,67,155,2,1,650,670,1320,2.83,6
Sophomore,M,Nobel,Verbal,71,160,2,3,680,650,1330,3.3,0
Sophomore,F,Nobel,Verbal,83,130,1,1,550,540,1090,3.44,3
Sophomore,M,Olympic,Math,61,180,2,1,600,620,1220,3,0
Sophomore,F,Nobel,Verbal,65,150,2,2,540,450,990,3.27,2
FirstYear,M,Olympic,Verbal,77,205,2,2,550,550,1100,2.3,0
Sophomore,F,Olympic,Math,60,115,0,1,500,510,1010,2.6,5